id,created_at,current_mA,flow_rate,doc_number,time,audio_url
10374,2025-04-22 06:20:22.879221+00,7695,64.48,10758,2025-04-22 06:20:21.186,
10373,2025-04-22 06:20:11.182547+00,7248.75,64.48,10757,2025-04-22 06:20:09.576,
10372,2025-04-22 06:19:59.567369+00,7760,64.48,10756,2025-04-22 06:19:57.936,
10371,2025-04-22 06:19:47.929925+00,7618.75,64.36,10755,2025-04-22 06:19:46.318,
10370,2025-04-22 06:19:36.312666+00,7641.25,64.36,10754,2025-04-22 06:19:34.706,
10369,2025-04-22 06:19:24.708618+00,7865,64.48,10753,2025-04-22 06:19:23.136,
10368,2025-04-22 06:19:13.132783+00,7663.75,64.24,10752,2025-04-22 06:19:11.446,
10367,2025-04-22 06:19:01.443706+00,7377.5,64.48,10751,2025-04-22 06:18:59.846,
10366,2025-04-22 06:18:49.818436+00,7355,64.61,10750,2025-04-22 06:18:48.196,
10365,2025-04-22 06:18:38.197497+00,7883.75,64.36,10749,2025-04-22 06:18:36.616,
10364,2025-04-22 06:18:26.618968+00,7958.75,64.61,10748,2025-04-22 06:18:25.036,
10363,2025-04-22 06:18:15.040253+00,7733.75,64.61,10747,2025-04-22 06:18:13.396,
10362,2025-04-22 06:18:03.394991+00,7892.5,64.36,10746,2025-04-22 06:18:01.746,
10361,2025-04-22 06:17:51.734069+00,7036.25,64.48,10745,2025-04-22 06:17:50.136,
10360,2025-04-22 06:17:40.135637+00,7867.5,64.48,10744,2025-04-22 06:17:38.516,
10359,2025-04-22 06:17:28.508339+00,7932.5,64.48,10743,2025-04-22 06:17:26.916,
10358,2025-04-22 06:17:16.906633+00,7488.75,64.48,10742,2025-04-22 06:17:15.236,
10357,2025-04-22 06:17:05.232904+00,6591.25,64.36,10741,2025-04-22 06:17:03.656,
10356,2025-04-22 06:16:53.649685+00,8101.25,64.24,10740,2025-04-22 06:16:52.006,
10355,2025-04-22 06:16:42.002178+00,7698.75,64.36,10739,2025-04-22 06:16:40.396,
10354,2025-04-22 06:16:30.392812+00,7633.75,64.24,10738,2025-04-22 06:16:28.806,
